Time	UI (ID 01) / Voltage U	UI (ID 01) / Current I	UI (ID 02) / Voltage U	UI (ID 02) / Current I
t/s	U/V	I/A	U/V	I/A

0.00	-0.0150105100	-0.001	-0.0149700600	-0.004
0.00	0.0000000000	-0.001	-0.0149700600	-0.001
0.01	-0.0150105100	-0.001	-0.0149700600	-0.004
0.01	0.0000000000	-0.001	-0.0149700600	0.002
0.02	0.0000000000	-0.001	-0.0149700600	-0.001
0.03	0.0000000000	-0.001	-0.0299401200	-0.001
0.03	0.0150105100	-0.001	-0.0299401200	0.002
0.04	0.0000000000	-0.001	-0.0299401200	-0.001
0.04	0.0150105100	-0.001	-0.0149700600	-0.001
0.05	0.0000000000	-0.001	-0.0299401200	-0.004
0.05	0.0150105100	-0.001	-0.0299401200	-0.001
0.05	0.0150105100	-0.001	-0.0299401200	-0.004
0.06	0.0150105100	-0.001	-0.0299401200	-0.001
0.06	0.0150105100	-0.001	-0.0299401200	0.002
0.07	0.0150105100	-0.001	-0.0449101800	0.002
0.08	0.0150105100	-0.001	-0.0449101800	-0.001
0.08	0.0300210200	-0.001	-0.0449101800	-0.001
0.09	0.0000000000	-0.001	-0.0299401200	-0.001
0.09	0.0300210200	0.002	-0.0449101800	-0.001
0.09	0.0300210200	0.002	-0.0449101800	-0.004
0.10	0.0300210200	-0.001	-0.0449101800	-0.004
0.10	0.0300210200	0.002	-0.0449101800	-0.007
0.11	0.0300210200	-0.001	-0.0449101800	0.002
0.12	0.0300210200	-0.001	-0.0449101800	0.002
0.12	0.0300210200	-0.001	-0.0449101800	0.002
0.13	0.0450315300	0.002	-0.0449101800	-0.001
0.13	0.0300210200	-0.001	-0.0598802400	-0.001
0.14	0.0450315300	-0.001	-0.0449101800	-0.001
0.14	0.0450315300	0.002	-0.0598802400	-0.001
0.14	0.0450315300	-0.001	-0.0598802400	-0.004
0.15	0.0450315300	-0.001	-0.0748503000	-0.004
0.16	0.0450315300	-0.001	-0.0598802400	-0.004
0.16	0.0450315300	-0.001	-0.0598802400	0.002
0.17	0.0450315300	-0.001	-0.0598802400	0.002
0.17	0.0600420300	-0.001	-0.0748503000	-0.001
0.17	0.0600420300	0.002	-0.0748503000	-0.001
0.18	0.0450315300	-0.001	-0.0598802400	-0.001
0.19	0.0600420300	-0.001	-0.0748503000	-0.001
0.19	0.0600420300	-0.001	-0.0598802400	-0.001
0.19	0.0600420300	0.002	-0.0748503000	-0.001
0.20	0.0750525400	-0.001	-0.0898203600	-0.007
0.20	0.0600420300	-0.001	-0.0748503000	0.002
0.21	0.0750525400	-0.001	-0.0748503000	0.002
0.22	0.0750525400	-0.004	-0.0748503000	0.002
0.22	0.0750525400	-0.001	-0.0748503000	-0.001
0.22	0.0600420300	0.005	-0.0898203600	-0.001
0.23	0.0900630500	-0.001	-0.0748503000	-0.001
0.23	0.0750525400	-0.001	-0.0898203600	-0.004
0.24	0.0900630500	-0.001	-0.0898203600	-0.001
0.25	0.0750525400	-0.001	-0.0898203600	-0.004
0.25	0.0750525400	-0.001	-0.0898203600	-0.004
0.25	0.0900630500	-0.001	-0.0748503000	0.002
0.26	0.0900630500	-0.001	-0.0898203600	0.002
0.26	0.0900630500	-0.001	-0.0898203600	-0.001
0.27	0.0900630500	-0.001	-0.1047904000	0.002
0.28	0.0750525400	-0.001	-0.0898203600	-0.001
0.28	0.0900630500	-0.001	-0.0898203600	-0.004
0.28	0.1050736000	-0.001	-0.1047904000	-0.001
0.29	0.0900630500	-0.001	-0.1047904000	-0.004
0.29	0.1050736000	-0.001	-0.0898203600	-0.001
0.30	0.0900630500	-0.001	-0.0898203600	0.002
0.31	0.1050736000	0.002	-0.0898203600	0.002
0.31	0.1050736000	-0.001	-0.1047904000	0.002
0.31	0.1050736000	-0.001	-0.1047904000	-0.004
0.32	0.1050736000	-0.001	-0.0898203600	-0.001
0.32	0.1050736000	0.002	-0.0898203600	-0.001
0.33	0.1200841000	-0.001	-0.1047904000	-0.004
0.34	0.1050736000	-0.001	-0.1047904000	-0.001
0.34	0.1050736000	-0.001	-0.1047904000	-0.004
0.34	0.1050736000	-0.001	-0.1047904000	0.002
0.35	0.1200841000	-0.001	-0.1047904000	-0.001
0.35	0.1200841000	-0.001	-0.1047904000	0.002
0.36	0.1050736000	-0.001	-0.1047904000	-0.001
0.37	0.1050736000	-0.001	-0.1047904000	-0.001
0.37	0.1050736000	-0.001	-0.1047904000	-0.004
0.38	0.1200841000	-0.001	-0.1047904000	-0.004
0.38	0.1200841000	0.002	-0.1047904000	-0.001
0.38	0.1200841000	-0.001	-0.1047904000	-0.004
0.39	0.1200841000	0.002	-0.1047904000	0.002
0.40	0.1050736000	-0.001	-0.1047904000	-0.001
0.40	0.1200841000	-0.001	-0.1047904000	-0.001
0.41	0.1200841000	0.002	-0.1047904000	0.002
0.41	0.1200841000	-0.001	-0.1047904000	-0.001
0.41	0.1200841000	-0.001	-0.1047904000	-0.004
0.42	0.1200841000	-0.001	-0.1047904000	-0.004
